상호명,시군구명,위도,경도,cluster_kmeans5,stability
마포역뉴매드,마포구,37.53898848,126.9454907,2,0.769
합정푸르지오,마포구,37.55094291,126.9124827,1,0.838
홍대동교,마포구,37.55832805,126.9262465,3,0.9
망원한강공원,마포구,37.55397485,126.8959278,4,0.887
마포구청역,마포구,37.56495699,126.9025546,2,0.77
가재울뉴타운,서대문구,37.57507214,126.9163599,4,0.892
남가좌사거리,서대문구,37.577386,126.920815,4,0.895
신촌역,서대문구,37.55625738,126.934653,1,0.723
아현역,서대문구,37.55824501,126.9561691,2,0.882
홍제역,서대문구,37.588658,126.943864,2,0.87
연세백양로,서대문구,37.56287446,126.93744,4,0.889
연희DT,서대문구,37.5702143,126.9339777,4,0.895
경기대,서대문구,37.56367995,126.9646045,1,0.539
신촌,서대문구,37.55650191,126.93697,1,0.822
이대,서대문구,37.55848315,126.9459643,1,0.847
연세종합관,서대문구,37.56146854,126.9411197,2,0.874
이대ECC,서대문구,37.561631,126.94735,4,0.895
연대,서대문구,37.558706,126.936727,1,0.843
충정로역,서대문구,37.56137,126.963219,2,0.884
연대동문,서대문구,37.56648507,126.9463253,4,0.888
신촌명물거리,서대문구,37.55776843,126.9381545,1,0.834
충정타워,서대문구,37.559869,126.96411,2,0.884
명지대,서대문구,37.5790409,126.9227886,4,0.895
이대역,서대문구,37.5570246,126.9463066,1,0.844
신촌로,서대문구,37.55580883,126.9382863,1,0.779
북가좌DT,서대문구,37.580758,126.911478,2,0.878
연세암병원,서대문구,37.56046655,126.9374534,2,0.758
연희동,서대문구,37.56545506,126.9295527,4,0.888
현대신촌,서대문구,37.55592458,126.9356945,1,0.751
방배로,서초구,37.4793434,126.9994968,2,0.871
강남교보타워R,서초구,37.50371078,127.0243353,1,0.65
방배다이치빌딩,서초구,37.48431,126.996075,2,0.879
센트럴F1,서초구,37.505148,127.004395,1,0.818
서초역이화빌딩,서초구,37.488356,127.009058,1,0.598
서초구청,서초구,37.48435384,127.0300905,1,0.587
서초우성사거리,서초구,37.493545,127.02943,3,0.506
이수역사거리,서초구,37.48585,126.983027,1,0.843
강남대로신사,서초구,37.51489,127.019469,1,0.803
서울고속터미널,서초구,37.5045697,127.0061603,1,0.816
방배,서초구,37.491914,126.9904974,4,0.869
방배카페거리,서초구,37.4934767,126.9865297,4,0.884
서초법원,서초구,37.492881,127.01208,3,0.453
청계산입구역,서초구,37.447323,127.05625,2,0.338
사당로데오,서초구,37.4772752,126.9821605,1,0.848
파미에파크R,서초구,37.5030521,127.004362,1,0.812
양재역,서초구,37.48237953,127.0368534,1,0.701
논현역,서초구,37.51143761,127.0205487,1,0.815
이수역,서초구,37.4864664,126.9827403,1,0.827
내방역,서초구,37.490004,126.992455,2,0.879
서초파라곤,서초구,37.49494259,127.0274263,3,0.904
서울아트센터,서초구,37.480866,127.012368,4,0.819
서초중앙로,서초구,37.501691,127.01152,2,0.415
센트럴시티,서초구,37.504707,127.004459,1,0.818
방배역,서초구,37.48200755,126.9976438,2,0.884
반포역,서초구,37.508589,127.011959,2,0.787
남부터미널,서초구,37.48467334,127.0169464,1,0.842
뉴코아강남,서초구,37.51031339,127.0069582,2,0.736
강남서초초교,서초구,37.5000875,127.0254909,3,0.825
교대,서초구,37.4923611,127.0142207,1,0.7
하이브랜드,서초구,37.46252023,127.036668,4,0.899
영동2교,서초구,37.48203954,127.0425748,4,0.878
남부터미널역5번출구,서초구,37.48436736,127.0142192,1,0.813
서래마을입구,서초구,37.49925284,126.9984801,4,0.89
몬테소리,서초구,37.4982695,127.026865,3,0.909
서초역,서초구,37.49067495,127.0086118,1,0.694
교대법원,서초구,37.496329,127.013336,1,0.749
강남GT타워,서초구,37.49790791,127.0261626,3,0.901
서초동,서초구,37.485941,127.021525,2,0.715
서울교대,서초구,37.4874556,127.0152554,1,0.844
강남에비뉴,서초구,37.50257781,127.0241059,1,0.681
서초우면,서초구,37.46404761,127.0250244,4,0.882
강남역7번출구,서초구,37.49706068,127.0274118,3,0.905
반포자이,서초구,37.50717048,127.0099189,2,0.736
서초태우빌딩,서초구,37.48870505,127.0315812,1,0.702
교대역3번출구,서초구,37.49434566,127.0149005,1,0.781
반포원베일리,서초구,37.50465708,126.999033,2,0.747
양재역신분당역사,서초구,37.48393473,127.0345442,1,0.845
강남역우송빌딩,서초구,37.49813146,127.0252791,3,0.742
남부순환로방배DT,서초구,37.4732569,126.9960094,4,0.894
양재하나로마트,서초구,37.462361,127.043181,4,0.886
신논현역,서초구,37.50437552,127.0231025,1,0.793
강남역5번출구호정빌딩,서초구,37.49454216,127.0282986,3,0.901
서이초교사거리,서초구,37.4918146,127.0252252,4,0.506
동작대로,서초구,37.4829998,126.9823669,1,0.432
강남르피에드,서초구,37.49567462,127.0251613,3,0.713
대륭서초타워,서초구,37.49207973,127.0300193,1,0.78
뉴코아강남B1,서초구,37.509145,127.007562,2,0.717
서울웨이브아트센터,서초구,37.518807,127.00704,4,0.884
길음역,성북구,37.602139,127.025271,2,0.882
미아이마트,성북구,37.61054299,127.0299876,2,0.769
종암DT,성북구,37.5919525,127.0360401,2,0.834
미아,성북구,37.607581,127.029303,4,0.66
성신여대정문,성북구,37.59091,127.0188,1,0.85
종암,성북구,37.601095,127.033847,4,0.883
삼선교,성북구,37.588696,127.0073207,2,0.871
월곡역,성북구,37.60203,127.040643,2,0.881
고대,성북구,37.583925,127.029594,2,0.882
현대미아,성북구,37.60851371,127.029177,4,0.607
성신여대,성북구,37.593135,127.018379,1,0.842
안암역,성북구,37.586319,127.030556,2,0.805
한성대입구역,성북구,37.58904121,127.004898,2,0.877
길음뉴타운,성북구,37.603633,127.023459,2,0.876
고대안암병원,성북구,37.586874,127.02811,2,0.874
장위뉴타운,성북구,37.61807232,127.0515285,4,0.891
성신여대입구역,성북구,37.593036,127.01665,1,0.839
송파나루역DT,송파구,37.510976,127.110358,1,0.469
송파헬리오시티,송파구,37.49778269,127.102852,4,0.884
잠실시그마타워,송파구,37.51461,127.102774,1,0.829
문정법원로R,송파구,37.48735627,127.1191198,1,0.789
송파개롱역,송파구,37.49713613,127.136313,2,0.865
문정하비오,송파구,37.48211913,127.1235407,1,0.8
문정역,송파구,37.4852965,127.1222768,1,0.843
잠실대교남단R,송파구,37.515511,127.099006,1,0.82
송파위례,송파구,37.478416,127.143161,4,0.887
송파방이DT,송파구,37.506564,127.120495,4,0.899
올림픽평화의문,송파구,37.5156426,127.1164819,2,0.882
송파아이파크,송파구,37.47979344,127.1224204,1,0.349
송파사거리,송파구,37.5022788,127.1103904,2,0.877
석촌서호,송파구,37.5063929,127.0964684,2,0.879
문정로데오,송파구,37.49185843,127.126231,2,0.868
올림픽훼미리,송파구,37.49161638,127.1162657,2,0.852
올림픽공원남문,송파구,37.5133,127.123113,4,0.883
방이역,송파구,37.50849041,127.1267765,2,0.88
석촌호수,송파구,37.50957859,127.1053264,2,0.738
잠실푸르지오월드,송파구,37.517287,127.103247,1,0.79
잠실새내역,송파구,37.511679,127.081062,2,0.766
잠실역,송파구,37.515272,127.099231,1,0.836
갤러리아팰리스,송파구,37.511561,127.093616,4,0.898
아시아선수촌,송파구,37.51059,127.079047,2,0.881
올림픽아파트,송파구,37.515315,127.133237,2,0.382
가락본동,송파구,37.49481239,127.1188348,2,0.875
석촌역,송파구,37.50442906,127.1062992,2,0.783
가락시장역,송파구,37.49442876,127.1217432,2,0.873
가든파이브,송파구,37.47797468,127.1211852,2,0.734
문정역2번출구,송파구,37.4862934,127.1232027,1,0.847
잠실본동,송파구,37.50864459,127.079491,2,0.863
송파NC,송파구,37.47804419,127.1258008,2,0.882
잠실트리지움,송파구,37.5109647,127.0861225,1,0.406
송파거여역,송파구,37.49360001,127.1436454,2,0.879
몽촌토성역,송파구,37.516913,127.113127,2,0.879
잠실학원사거리,송파구,37.5073157,127.0909887,2,0.883
잠실르엘,송파구,37.51595,127.10663,1,0.79
송파KT,송파구,37.51394208,127.1069923,1,0.774
문정법조타운 한양타워,송파구,37.48579659,127.1178142,1,0.725
송파마천사거리DT,송파구,37.499829,127.147672,4,0.895
목동파리공원,양천구,37.535336,126.878852,4,0.898
등촌역,양천구,37.548884,126.86807,2,0.878
목동행복한,양천구,37.52972768,126.8759452,4,0.86
신정DT,양천구,37.521993,126.858865,2,0.878
목동역,양천구,37.526684,126.863986,2,0.879
목동오목로,양천구,37.525923,126.868438,2,0.72
목동8단지,양천구,37.520518,126.868841,4,0.901
오목교역,양천구,37.52385593,126.8764499,2,0.834
신월IC DT,양천구,37.52950244,126.8322023,4,0.893
목동7단지,양천구,37.528012,126.87053,4,0.729
목동5단지,양천구,37.53638564,126.8821175,4,0.893
목동,양천구,37.53638383,126.8785597,4,0.885
현대목동,양천구,37.52662717,126.8749407,1,0.824
목동SBS,양천구,37.52896162,126.8736301,4,0.691
목동트라팰리스,양천구,37.5255,126.8702,1,0.334
목동10단지,양천구,37.51542562,126.8596031,4,0.893
신월동DT,양천구,37.53829235,126.8271014,4,0.883
타임스퀘어R,영등포구,37.51809815,126.905307,1,0.846
샛강역,영등포구,37.51832551,126.9311172,0,0.91
영등포역,영등포구,37.51702,126.909191,1,0.852
당산대로,영등포구,37.533121,126.903804,2,0.88
여의도IFC몰(L1)R,영등포구,37.52538632,126.9260652,0,0.907
여의도KBS R,영등포구,37.526596,126.918456,0,0.909
국회대로,영등포구,37.53026,126.919549,0,0.913
영등포KT,영등포구,37.526419,126.905314,2,0.88
여의도공원R,영등포구,37.52912953,126.9253573,0,0.905
국회의사당역,영등포구,37.5280541,126.9171195,0,0.919
여의도역R,영등포구,37.523328,126.923439,0,0.909
선유동이레빌딩,영등포구,37.53427768,126.8969763,4,0.492
동여의도,영등포구,37.52063016,126.9316864,0,0.902
여의도ABL타워,영등포구,37.51891607,126.9280116,0,0.907
영등포신길,영등포구,37.504566,126.910073,2,0.766
문래역,영등포구,37.517446,126.895258,2,0.877
당산,영등포구,37.53510012,126.8999254,1,0.847
여의도한양증권,영등포구,37.52239462,126.9291395,0,0.838
여의도일신,영등포구,37.52774993,126.9202762,0,0.917
하이테크시티,영등포구,37.51445587,126.8998794,4,0.898
여의도,영등포구,37.52408577,126.924726,0,0.916
롯데캐슬여의도,영등포구,37.52025214,126.9263678,0,0.913
문래동,영등포구,37.519602,126.889652,2,0.879
여의도호성,영등포구,37.52047778,126.9292064,0,0.898
타임스퀘어B2,영등포구,37.5176752,126.9031725,1,0.842
영등포본동,영등포구,37.518713,126.909559,1,0.844
타임스퀘어2F,영등포구,37.51760769,126.9032404,1,0.853
여의도의사당,영등포구,37.530023,126.92109,0,0.895
여의도IFC(1F),영등포구,37.525273,126.924668,0,0.905
여의도교직원공제회,영등포구,37.5219149,126.9255879,0,0.918
여의도원센티널,영등포구,37.52505179,126.9242414,0,0.911
여의도한강공원,영등포구,37.52893,126.9345411,0,0.898
SSG.COM,영등포구,37.51950935,126.9039167,1,0.856
선유도역 1번출구,영등포구,37.538333,126.893612,2,0.882
여의도IFC몰(L2)STREET,영등포구,37.52392601,126.9249835,0,0.907
영등포시장역,영등포구,37.52348591,126.9050032,1,0.66
영등포구청역,영등포구,37.52796774,126.8962044,2,0.877
서울양평역,영등포구,37.523128,126.885809,2,0.882
영등포시장교차로,영등포구,37.5204239,126.904446,1,0.842
더현대서울(B2)R,영등포구,37.52588346,126.9286582,0,0.907
여의도브라이튼,영등포구,37.52410062,126.9298173,0,0.907
여의도TP타워,영등포구,37.52140431,126.9232015,0,0.912
당산역사거리,영등포구,37.53414612,126.9011769,1,0.236
신풍역,영등포구,37.50034696,126.9084384,2,0.878
불광역,은평구,37.609382,126.9303971,2,0.751
구파발사거리,은평구,37.639617,126.91881,2,0.771
연신내역사거리,은평구,37.61877394,126.9217989,1,0.842
연신내,은평구,37.62023136,126.9198977,1,0.838
구파발역,은평구,37.63446,126.918881,2,0.85
은평구청입구,은평구,37.601042,126.926789,4,0.888
은평이마트,은평구,37.60037923,126.9202735,2,0.88
구산역,은평구,37.611745,126.917678,2,0.875
불광역8번출구,은평구,37.61199,126.9289,2,0.788
응암역2번출구,은평구,37.6006318,126.915779,2,0.847
수색,은평구,37.58006407,126.8995624,2,0.88
새절역,은평구,37.58942667,126.9128635,2,0.877
더북한산,은평구,37.65545766,126.9475564,4,0.887
녹번역,은평구,37.60330762,126.9352857,2,0.407
진관DT,은평구,37.6501787,126.9361968,4,0.882
연신내역5번출구,은평구,37.61813536,126.9203813,1,0.851
연합뉴스,종로구,37.57462714,126.9804754,1,0.837
혜화역,종로구,37.5824779,127.002185,1,0.843
경희궁로,종로구,37.571759,126.972343,1,0.812
강북삼성병원,종로구,37.56831941,126.966942,2,0.764
종로평창동,종로구,37.60614771,126.9673641,4,0.877
광화문우체국,종로구,37.57000686,126.9780599,3,0.897
종로R,종로구,37.5708,126.9834,3,0.896
독립문역,종로구,37.571432,126.961269,2,0.881
정부서울청사R,종로구,37.57462131,126.9736776,1,0.85
