상호명,cluster_A,cluster_B
용산아이파크몰6F,1,1
동부이촌동,2,4
숙명여대정문,4,4
용산해링턴스퀘어,1,1
경리단길,2,2
서울역사,1,3
용산리첸시아,2,2
용산전자랜드,1,1
용산이마트,1,3
용산아이파크몰1F,1,1
상봉,2,2
중랑역,2,2
중랑구청,4,4
사가정역,2,2
상봉역,2,2
면목역,2,2
묵동,2,2
망우동,2,2
양원역,2,2
중화역,2,2
