상호명,시군구명,위도,경도,is_starbucks,projected_cluster
상도대로,동작구,37.50504793,126.9428938,1,2
이수역13번출구,동작구,37.48733712,126.9814933,1,1
장승배기역,동작구,37.50580826,126.9392436,1,2
서강대프라자,마포구,37.55102697,126.9431337,1,2
상암YTN,마포구,37.57931427,126.8922104,1,1
마포용강동,마포구,37.541186,126.942209,1,2
홍대입구역사거리R,마포구,37.554636,126.92036,1,3
마포경찰서후문,마포구,37.5508,126.953432,1,2
공덕,마포구,37.545913,126.952956,1,1
합정폴리스R,마포구,37.5509,126.9134,1,1
홍대공항철도역,마포구,37.557491,126.925146,1,3
마포염리,마포구,37.543876,126.94768,1,1
서강광흥창역,마포구,37.549377,126.931661,1,2
합정,마포구,37.54997888,126.9125404,1,1
서강대흥역,마포구,37.548178,126.941576,1,2
서교동사거리,마포구,37.553376,126.918564,1,3
상암사보이시티,마포구,37.58146221,126.8887855,1,4
신촌오거리,마포구,37.555137,126.934694,1,1
상암디지털큐브,마포구,37.57613522,126.8889264,1,4
상수역,마포구,37.5474817,126.9232158,1,1
공덕오거리,마포구,37.5424641,126.9505773,1,1
서강대,마포구,37.5524584,126.9378262,1,2
상암MBC,마포구,37.58094224,126.8915854,1,1
홍대역,마포구,37.557175,126.923654,1,3
동교,마포구,37.556928,126.919819,1,3
애오개역,마포구,37.55229379,126.9557935,1,2
상암DMC,마포구,37.57770032,126.8909364,1,4
마포일진빌딩,마포구,37.54043451,126.9463168,1,1
마포아크로,마포구,37.54133484,126.9488666,1,1
홍대삼거리,마포구,37.55026561,126.9232087,1,1
망원역,마포구,37.555829,126.910637,1,1
마포이마트,마포구,37.542421,126.953341,1,1
합정메세나몰,마포구,37.55005847,126.9135588,1,1
아현역대로,마포구,37.5571701,126.9549079,1,2
디지털미디어시티역,마포구,37.57614873,126.8989479,1,2
홍대역8번출구,마포구,37.5567435,126.9241665,1,3
마포역뉴매드,마포구,37.53898848,126.9454907,1,2
합정푸르지오,마포구,37.55094291,126.9124827,1,1
홍대동교,마포구,37.55832805,126.9262465,1,3
망원한강공원,마포구,37.55397485,126.8959278,1,4
마포구청역,마포구,37.56495699,126.9025546,1,2
가재울뉴타운,서대문구,37.57507214,126.9163599,1,4
남가좌사거리,서대문구,37.577386,126.920815,1,4
신촌역,서대문구,37.55625738,126.934653,1,1
아현역,서대문구,37.55824501,126.9561691,1,2
홍제역,서대문구,37.588658,126.943864,1,2
연세백양로,서대문구,37.56287446,126.93744,1,4
연희DT,서대문구,37.5702143,126.9339777,1,4
경기대,서대문구,37.56367995,126.9646045,1,1
신촌,서대문구,37.55650191,126.93697,1,1
이대,서대문구,37.55848315,126.9459643,1,1
연세종합관,서대문구,37.56146854,126.9411197,1,2
