dataset,label,transform,feature_a,feature_b,pearson_r,abs_r,strong_pair
starbucks,스타벅스,transformed,subway_evening_peak_500m,num_restaurants_500m,0.561094,0.561094,False
non_starbucks,비스타벅스,transformed,num_restaurants_500m,land_price,0.561059,0.561059,False
starbucks,스타벅스,transformed,independent_cafe_count_500m,land_price,0.561012,0.561012,False
starbucks,스타벅스,raw,num_restaurants_500m,num_retail_500m,0.560491,0.560491,False
all,전체,transformed,num_restaurants_500m,land_price,0.560334,0.560334,False
all,전체,raw,subway_evening_peak_500m,num_restaurants_500m,0.560153,0.560153,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,num_restaurants_500m,0.559821,0.559821,False
all,전체,transformed,num_retail_500m,other_franchise_cafe_count_500m,0.556521,0.556521,False
starbucks,스타벅스,transformed,nearest_subway_ridership,num_retail_500m,0.555882,0.555882,False
starbucks,스타벅스,transformed,nearest_subway_ridership,subway_morning_peak_500m,0.555862,0.555862,False
non_starbucks,비스타벅스,transformed,num_retail_500m,other_franchise_cafe_count_500m,0.555492,0.555492,False
starbucks,스타벅스,raw,subway_evening_peak_500m,num_restaurants_500m,0.55441,0.55441,False
starbucks,스타벅스,transformed,dist_nearest_subway,subway_morning_peak_500m,-0.554073,0.554073,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,num_retail_500m,0.553984,0.553984,False
starbucks,스타벅스,raw,subway_morning_peak_500m,independent_cafe_count_500m,0.553665,0.553665,False
starbucks,스타벅스,transformed,num_restaurants_500m,dist_nearest_starbucks,-0.552946,0.552946,False
all,전체,raw,nearest_subway_ridership,subway_lunch_peak_500m,0.552805,0.552805,False
starbucks,스타벅스,transformed,independent_cafe_count_500m,dist_nearest_starbucks,-0.55278,0.55278,False
starbucks,스타벅스,raw,nearest_subway_ridership,num_convenience_500m,0.551068,0.551068,False
all,전체,transformed,subway_lunch_peak_500m,num_restaurants_500m,0.5504,0.5504,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,subway_lunch_peak_500m,0.55028,0.55028,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,num_restaurants_500m,0.550277,0.550277,False
starbucks,스타벅스,raw,nearest_subway_ridership,subway_morning_peak_500m,0.549858,0.549858,False
starbucks,스타벅스,raw,nearest_subway_ridership,independent_cafe_count_500m,0.54938,0.54938,False
starbucks,스타벅스,transformed,num_retail_500m,dist_nearest_starbucks,-0.546512,0.546512,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,num_retail_500m,0.546361,0.546361,False
non_starbucks,비스타벅스,raw,num_retail_500m,low_price_cafe_count_500m,0.545979,0.545979,False
all,전체,raw,num_retail_500m,low_price_cafe_count_500m,0.545229,0.545229,False
all,전체,raw,nearest_subway_ridership,independent_cafe_count_500m,0.544731,0.544731,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,independent_cafe_count_500m,0.544211,0.544211,False
starbucks,스타벅스,transformed,dist_nearest_subway,subway_evening_peak_500m,-0.543938,0.543938,False
starbucks,스타벅스,transformed,dist_nearest_subway,subway_lunch_peak_500m,-0.540257,0.540257,False
all,전체,raw,independent_cafe_count_500m,land_price,0.539916,0.539916,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,land_price,0.538475,0.538475,False
all,전체,transformed,subway_evening_peak_500m,num_convenience_500m,0.537827,0.537827,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,num_convenience_500m,0.537813,0.537813,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,independent_cafe_count_500m,0.537163,0.537163,False
all,전체,transformed,avg_income,land_price,0.53576,0.53576,False
non_starbucks,비스타벅스,transformed,avg_income,land_price,0.53464,0.53464,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,independent_cafe_count_500m,0.534616,0.534616,False
all,전체,transformed,subway_lunch_peak_500m,num_retail_500m,0.534355,0.534355,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,independent_cafe_count_500m,0.533988,0.533988,False
non_starbucks,비스타벅스,raw,num_retail_500m,land_price,0.533353,0.533353,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,num_restaurants_500m,0.532959,0.532959,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,num_retail_500m,0.532902,0.532902,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,num_restaurants_500m,0.5326,0.5326,False
all,전체,raw,subway_lunch_peak_500m,num_restaurants_500m,0.532446,0.532446,False
all,전체,raw,num_retail_500m,land_price,0.531828,0.531828,False
all,전체,transformed,nearest_subway_ridership,num_restaurants_500m,0.531087,0.531087,False
starbucks,스타벅스,transformed,dist_nearest_subway,num_subway_500m,-0.53068,0.53068,False
all,전체,transformed,subway_evening_peak_500m,num_retail_500m,0.530368,0.530368,False
starbucks,스타벅스,raw,nearest_subway_ridership,num_restaurants_500m,0.529997,0.529997,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,num_restaurants_500m,0.529197,0.529197,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,num_retail_500m,0.529019,0.529019,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,num_restaurants_500m,0.528957,0.528957,False
all,전체,raw,subway_evening_peak_500m,num_retail_500m,0.528685,0.528685,False
all,전체,transformed,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.52846,0.52846,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.527858,0.527858,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,num_retail_500m,0.527762,0.527762,False
starbucks,스타벅스,raw,num_restaurants_500m,land_price,0.527692,0.527692,False
starbucks,스타벅스,raw,subway_morning_peak_500m,num_restaurants_500m,0.527177,0.527177,False
starbucks,스타벅스,raw,subway_evening_peak_500m,num_retail_500m,0.527116,0.527116,False
all,전체,raw,subway_evening_peak_500m,num_convenience_500m,0.527057,0.527057,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,num_convenience_500m,0.526872,0.526872,False
all,전체,raw,nearest_subway_ridership,num_restaurants_500m,0.524662,0.524662,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,num_restaurants_500m,0.52395,0.52395,False
all,전체,raw,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.522911,0.522911,False
starbucks,스타벅스,transformed,avg_income,land_price,0.522205,0.522205,False
all,전체,transformed,subway_morning_peak_500m,num_restaurants_500m,0.52218,0.52218,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.522118,0.522118,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,num_restaurants_500m,0.521181,0.521181,False
all,전체,transformed,subway_morning_peak_500m,num_convenience_500m,0.520697,0.520697,False
starbucks,스타벅스,transformed,num_restaurants_500m,land_price,0.520675,0.520675,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,num_convenience_500m,0.52048,0.52048,False
all,전체,transformed,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.520425,0.520425,False
all,전체,transformed,nearest_subway_ridership,num_convenience_500m,0.519827,0.519827,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.519788,0.519788,False
all,전체,raw,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.519461,0.519461,False
starbucks,스타벅스,transformed,num_convenience_500m,dist_nearest_starbucks,-0.5186,0.5186,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,other_franchise_cafe_count_500m,0.518545,0.518545,False
