feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
num_subway_500m,1.0,1.0,233,0.3421,high,광화문교보문고,종로구,서울특별시 종로구 종로 1 (종로1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로2가,중구,서울특별시 중구 삼일대로 358 (을지로2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,여의도ABL타워,영등포구,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,롯데캐슬여의도,영등포구,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어) 1층 104호",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,동대문두타,중구,서울특별시 중구 장충단로 275 (을지로6가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로4가역,중구,서울특별시 중구 을지로 170 (을지로4가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로경기빌딩,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,광장마켓,종로구,서울특별시 종로구 창경궁로 88 (예지동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,숭례문북창,중구,서울특별시 중구 세종대로12길 12 (남대문로4가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,수색,은평구,서울특별시 은평구 수색로 216 (수색동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,종각,종로구,서울특별시 종로구 종로 64 (종로2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,적선,종로구,"서울특별시 종로구 새문안로5길 55, 노스게이트빌딩 1층 (적선동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,종로관철,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,KT광화문웨스트B1F,종로구,서울특별시 종로구 세종대로 178 (세종로),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,종로관수,종로구,서울특별시 종로구 삼일대로20길 13 (관수동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,그랑서울,종로구,서울특별시 종로구 종로 33 (청진동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,종로3가,종로구,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,연합뉴스,종로구,서울특별시 종로구 율곡로2길 25 (수송동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,몽촌토성역,송파구,서울특별시 송파구 위례성대로 6 (방이동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,송파사거리,송파구,서울특별시 송파구 송파대로 386 (송파동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,올림픽평화의문,송파구,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,가락시장역,송파구,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,잠실푸르지오월드,송파구,"서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,문정하비오,송파구,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,목동트라팰리스,양천구,서울특별시 양천구 오목로 299 (목동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,마곡케이스퀘어,강서구,"서울특별시 강서구 마곡중앙로 105-7 (마곡동), 1층 일부",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,서강광흥창역,마포구,서울특별시 마포구 서강로 69 (창전동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,이수자이,동작구,서울특별시 동작구 사당로 300 (사당동 이수자이),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,숙대입구역,용산구,서울특별시 용산구 한강대로 291 (갈월동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,서울역동자동,용산구,서울특별시 용산구 한강대로 372 (동자동),2.0
