feature,rank_type,rank,상호명,시군구명,도로명주소,value
cafe_count_500m,bottom,2,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1.0
cafe_count_500m,bottom,3,김포공항국내선,강서구,서울특별시 강서구 하늘길 112 (공항동),2.0
cafe_count_500m,bottom,4,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,3.0
cafe_count_500m,bottom,5,김포공항국제선,강서구,서울특별시 강서구 하늘길 38 (방화동),3.0
cafe_count_500m,bottom,6,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),5.0
cafe_count_500m,bottom,7,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),6.0
cafe_count_500m,bottom,8,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),6.0
cafe_count_500m,bottom,9,개포동,강남구,서울특별시 강남구 선릉로 34 (개포동),7.0
cafe_count_500m,bottom,10,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),7.0
cafe_count_1000m,top,1,을지로경기빌딩,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,858.0
cafe_count_1000m,top,2,을지로국제빌딩,중구,서울특별시 중구 남대문로 109 (다동),856.0
cafe_count_1000m,top,3,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,845.0
cafe_count_1000m,top,4,시청,중구,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",840.0
cafe_count_1000m,top,5,을지로한국빌딩,중구,"서울특별시 중구 을지로 50, 1층 (을지로 2가)",824.0
cafe_count_1000m,top,6,동교,마포구,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",823.0
cafe_count_1000m,top,7,한국프레스센터,중구,서울특별시 중구 세종대로 124 (태평로1가),813.0
cafe_count_1000m,top,8,무교로,중구,서울특별시 중구 무교로 15 (무교동),812.0
