feature,rank_type,rank,상호명,시군구명,도로명주소,value
num_offices,bottom,4,경희대삼거리,동대문구,서울특별시 동대문구 회기로 141 (회기동),51.0
num_offices,bottom,5,경희의료원,동대문구,서울특별시 동대문구 경희대로 23 (회기동),51.0
num_offices,bottom,6,중앙대,동작구,서울특별시 동작구 흑석로 75-1 (흑석동),91.0
num_offices,bottom,7,월계이마트,노원구,서울특별시 노원구 마들로3길 15 (월계동),100.0
num_offices,bottom,8,월계트레이더스,노원구,서울특별시 노원구 마들로3길 17 (월계동),100.0
num_offices,bottom,9,강일역,강동구,"서울특별시 강동구 고덕로 429 (강일동), 1층",143.0
num_offices,bottom,10,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),143.0
living_population,top,1,강남우성,강남구,서울특별시 강남구 강남대로 328 (역삼동),98668.0
living_population,top,2,강남R,강남구,서울특별시 강남구 강남대로 390 (역삼동),98668.0
living_population,top,3,강남대로,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",98668.0
living_population,top,4,강남차여성병원,강남구,서울특별시 강남구 봉은사로 156 (역삼동),98668.0
living_population,top,5,선릉로,강남구,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",98668.0
living_population,top,6,강남비젼타워,강남구,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",98668.0
living_population,top,7,강남파이낸스센터,강남구,서울특별시 강남구 테헤란로 152 (역삼동),98668.0
living_population,top,8,언주역,강남구,서울특별시 강남구 봉은사로 222 (역삼동),98668.0
living_population,top,9,테헤란로아남타워,강남구,서울특별시 강남구 테헤란로 311 (역삼동),98668.0
living_population,top,10,구역삼사거리,강남구,서울특별시 강남구 논현로 401 (역삼동),98668.0
living_population,bottom,1,안국,종로구,서울특별시 종로구 북촌로 5-1 (재동),5870.0
living_population,bottom,2,북촌로,종로구,서울특별시 종로구 북촌로4길 23 (계동),5870.0
living_population,bottom,3,삼청동,종로구,서울특별시 종로구 삼청로 111-1 (삼청동),6915.0
living_population,bottom,4,서대문역,종로구,서울특별시 종로구 통일로 134 (평동),8010.0
living_population,bottom,5,독립문역,종로구,서울특별시 종로구 송월길 155 경희궁자이 4단지 1층 팰리스애비뉴 4114~4119호,8010.0
living_population,bottom,6,강북삼성병원1층,종로구,서울특별시 종로구 새문안로 29 (평동) A관 1층,8010.0
living_population,bottom,7,강북삼성병원,종로구,서울특별시 종로구 새문안로 29 (평동) C관 5층,8010.0
living_population,bottom,8,서대문적십자,종로구,서울특별시 종로구 새문안로 9 (평동) 서울적십자병원 별관 상가동 1층 B호,8010.0
living_population,bottom,9,신풍역,영등포구,서울특별시 영등포구 신풍로 23 (신길동),9596.0
living_population,bottom,10,길음역,성북구,서울특별시 성북구 정릉로 376 (돈암동),9956.0
land_price,top,1,신세계본점6F,중구,서울특별시 중구 퇴계로 77 (충무로1가),59244720.0
land_price,top,2,종각,종로구,서울특별시 종로구 종로 64 (종로2가),37882535.0
land_price,top,3,종로R,종로구,서울특별시 종로구 종로 51 (종로2가),37882535.0
land_price,top,4,한국은행교차로,중구,서울특별시 중구 남대문로 55 (남대문로2가),33908039.0
land_price,top,5,광화문우체국,종로구,서울특별시 종로구 종로 6 (서린동),29813570.0
land_price,top,6,무교동,중구,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,29066377.0
land_price,top,7,무교로,중구,서울특별시 중구 무교로 15 (무교동),29066377.0
land_price,top,8,종로관철,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",28097391.0
land_price,top,9,명동메트로,중구,서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔,28041364.0
land_price,top,10,시청,중구,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",28041364.0
land_price,bottom,1,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),1098262.0
land_price,bottom,2,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),1098262.0
land_price,bottom,3,강일역,강동구,"서울특별시 강동구 고덕로 429 (강일동), 1층",1173903.0
land_price,bottom,4,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),1173903.0
land_price,bottom,5,서울안토,강북구,서울특별시 강북구 삼양로 689 (우이동) 지하1층,1588546.0
land_price,bottom,6,청계산입구역,서초구,서울특별시 서초구 청계산로 203 (신원동),1602468.0
land_price,bottom,7,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1811251.0
land_price,bottom,8,강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),1811251.0
land_price,bottom,9,도봉구청,도봉구,서울특별시 도봉구 마들로 665 (도봉동),2026007.0
land_price,bottom,10,서초우면,서초구,서울특별시 서초구 태봉로 62 (우면동),2087834.0
