상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,num_bus_stops_300m,subway_morning_peak_500m,subway_lunch_peak_500m,subway_evening_peak_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,independent_cafe_count_500m,low_price_cafe_count_500m,other_franchise_cafe_count_500m,dist_nearest_starbucks,avg_income,num_offices,living_population,land_price
독립문역,스타벅스,1,37.571432,126.961269,종로구,서울특별시 종로구 송월길 155 경희궁자이 4단지 1층 팰리스애비뉴 4114~4119호,0.467,1,17428.0,25,104150.0,80127.0,150523.0,212,157,16,27,2,3,0.608091,4616890.0,870.0,8010.0,6147860.0
정부서울청사R,스타벅스,1,37.57462131,126.9736776,종로구,서울특별시 종로구 새문안로5가길 28 (적선동),0.1275,2,54206.0,7,1699747.0,1019390.0,2661957.0,839,241,20,141,7,3,0.085068,5007768.0,45215.0,24407.0,12183922.0
북촌로,스타벅스,1,37.57941902,126.9864856,종로구,서울특별시 종로구 북촌로4길 23 (계동),0.3398,1,59031.0,12,316405.0,258620.0,567629.0,389,342,13,99,1,4,0.233977,3479766.0,12996.0,5870.0,5174974.0
종로수송,스타벅스,1,37.57165163,126.9806234,종로구,서울특별시 종로구 종로5길 30 (청진동) 1~3층,0.2618,2,77447.0,11,1598854.0,822452.0,2441887.0,1172,640,47,181,8,17,0.109159,3245251.0,109733.0,60219.0,17119888.0
새문안로,스타벅스,1,37.56985308,126.9749952,종로구,서울특별시 종로구 새문안로 92 (신문로1가) 광화문오피시아빌딩,0.267,1,68425.0,16,1426086.0,719336.0,2104040.0,869,279,32,149,8,7,0.185739,5007768.0,45215.0,24407.0,18132551.0
안국,스타벅스,1,37.57739395,126.9857643,종로구,서울특별시 종로구 북촌로 5-1 (재동),0.1058,1,59031.0,21,316405.0,258620.0,567629.0,671,669,22,147,2,6,0.233977,3479766.0,12996.0,5870.0,8639314.0
삼청동,스타벅스,1,37.58541226,126.9819133,종로구,서울특별시 종로구 삼청로 111-1 (삼청동),1.0411,0,59031.0,5,0.0,0.0,0.0,117,139,5,38,0,1,0.778749,3442534.0,4210.0,6915.0,5918752.0
적선,스타벅스,1,37.57529941,126.9741245,종로구,"서울특별시 종로구 새문안로5길 55, 노스게이트빌딩 1층 (적선동)",0.0734,2,54206.0,7,1699747.0,1019390.0,2661957.0,834,241,20,144,6,2,0.085068,5007768.0,45215.0,24407.0,12183922.0
인사,스타벅스,1,37.57220884,126.9867982,종로구,서울특별시 종로구 인사동길 14 (인사동),0.4054,3,105865.0,10,1290603.0,1171733.0,2659893.0,1656,1313,63,214,11,19,0.316712,3245251.0,109733.0,60219.0,20959182.0
광화문,스타벅스,1,37.5712544,126.9763106,종로구,서울특별시 종로구 세종대로 167 (세종로),0.0815,1,68425.0,14,1064139.0,527525.0,1583339.0,983,330,37,166,8,10,0.14575,5007768.0,45215.0,24407.0,25932880.0
