district,n_cafe,n_starbucks,lat,lon,share_C0,share_C1,share_C2,share_C3,share_C4,dominant_sigungu,dominant_persona,dominant_persona_name,persona_entropy,sb_core_share,weak_access_share,score,score_pct,has_starbucks,score_decile
48,15,1,37.51387926133334,127.09242166,0.0,0.0,0.0,0.0,1.0,송파구,C4,C4 비역세권,-0.0,0.0,1.0,0.5609623015873015,59.41176470588236,1,D6
76,62,2,37.54614257806452,127.01956727419355,0.0,0.0,0.6290322580645161,0.0,0.3709677419354839,성동구,C2,C2 주거생활,0.40975095466045175,0.0,0.3709677419354839,0.5575726190476191,58.82352941176471,1,D6
96,5,0,37.52033213,127.1155184,0.0,0.0,1.0,0.0,0.0,송파구,C2,C2 주거생활,-0.0,0.0,0.0,0.555586507936508,58.235294117647065,0,D6
68,11,1,37.57270246818182,127.17423574545455,0.0,0.0,0.0,0.0,1.0,강동구,C4,C4 비역세권,-0.0,0.0,1.0,0.5554043234543236,57.647058823529406,1,D6
97,6,0,37.51048887166667,126.88166535,0.0,0.0,0.5,0.0,0.5,구로구,C2,C2 주거생활,0.43067655807339306,0.0,0.5,0.552475,57.05882352941176,0,D6
50,25,3,37.53625236,126.88003377999999,0.0,0.0,0.0,0.0,1.0,양천구,C4,C4 비역세권,-0.0,0.0,1.0,0.5372314814814814,56.47058823529412,1,D6
138,5,2,37.507924442000004,127.01103728000001,0.0,0.0,1.0,0.0,0.0,서초구,C2,C2 주거생활,-0.0,0.0,0.0,0.5370817460317459,55.88235294117647,1,D6
85,5,0,37.618968968000004,127.06729341999998,0.0,0.0,0.6,0.0,0.4,노원구,C2,C2 주거생활,0.4181656600790517,0.0,0.4,0.5353769841269842,55.294117647058826,0,D6
165,7,0,37.64381697571429,127.06287902857142,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,노원구,C2,C2 주거생활,0.2548195957855576,0.0,0.14285714285714285,0.5280670634920636,54.70588235294118,0,D6
1,34,4,37.49065413558824,127.05629854705882,0.0,0.0,1.0,0.0,0.0,강남구,C2,C2 주거생활,-0.0,0.0,0.0,0.5245198412698412,54.11764705882353,1,D6
